Title,Authors,Category,Link,My Takeaway,Rating,Status,Topic / Keywords,Venue,Year
Revisit Self-Debugging with Self-Generated Tests for Code Generation,Xiancai Chen; Zhengwei Tao; Kechi Zhang; Changzhi Zhou; Xinyu Zhang; Wanli Gu; Yuanpeng He; Mengdi Zhang; Xunliang Cai; Haiyan Zhao; Zhi Jin,Method,https://aclanthology.org/2025.acl-long.881/,研究自我调试范式在代码生成中的效果，比较 post-execution 与 in-execution 两种机制。发现前者易受自生成测试偏差影响，而 in-execution 通过在执行中监控变量状态与中间反馈，有效减轻误导并提升鲁棒性与准确性，为无测试场景下的 LLM 自我调试提供了新方向。,,To Read,"self-debugging, self-generated tests, code generation, runtime feedback",ACL 2025 (Long),2025
MGDebugger: Closing the Last Mile of Code Generation with Hierarchical Debugging,Yuling Shi; Songsong Wang; Chengcheng Wan; Xiaodong Gu,Method,https://openreview.net/forum?id=dwQIVcW1du,"提出 MGDebugger 框架，将代码按层次拆分，从底层语法到高层算法逐步定位并修复错误，大幅提高 LLM 代码生成的正确率。




",⭐⭐⭐⭐（结构清晰，适合学习 LLM 调试思路）,To Read,"hierarchical debugging, code generation, LLM agents",ICLR 2025 (OpenReview),2025
REDO: Execution‑Free Runtime Error Detection for Coding Agents,Shengwei Li et al.,System,https://openreview.net/forum?id=THkF3VWSNv,"提出 REDO 框架，将 LLM 的语义理解与静态分析结合，实现“无需执行”的运行时错误检测。通过新基准 SWED-E 系统评估仓库级任务中错误识别能力，显著提升准确率（+11%）和加权 F1（+9%）。该方法为代码智能体提供执行前的高效安全检测思路，减少调试开销并增强稳定性。
",,To Read,"static analysis, runtime error detection, coding agents",ICLR 2025 (OpenReview),2025
Improve Code Generation with Feedback,Z. Xu et al.,Method,https://openreview.net/pdf?id=CscKx97jBi,"提出基于反馈的代码生成框架，让 LLM 在生成过程中接收并利用执行反馈（测试结果、正确性信号等），模拟人类调试。通过持续修正机制显著提升 HumanEval、MBPP 等基准性能，展示 LLM 在“自我调试式”代码生成中的潜力。
",,To Read,"self-debugging pipeline, execution feedback",ICLR 2025 (OpenReview),2025
RepoST: Scalable Repository‑Level Coding Environment Construction with Sandbox Testing,,System / Dataset,https://icml.cc/virtual/2025/48167,"提出了 RepoST 框架，用于在代码仓库级别自动构建可执行的代码生成与测试环境，通过沙盒测试（sandbox testing）来隔离函数依赖、提供执行反馈，从而在不牺牲可扩展性的情况下支持大规模训练与评估。
该方法能自动从真实代码库中提取任务环境并生成训练数据集（RepoST-Train），显著提升 LLM 的代码生成性能（HumanEval 上提升 5.5%，RepoEval 上提升 3.5%）。
",,To Read,"sandbox testing, execution feedback, dataset construction",ICML 2025 (Workshop: CODEML),2025
LLM-Powered Test Case Generation for Detecting Bugs in Plausible Programs (TrickCatcher),Kaibo Liu; Zhenpeng Chen; Yiyang Liu; Jie M. Zhang; Mark Harman; Yudong Han; Yun Ma; Yihong Dong; Ge Li; Gang Huang,Benchmark / Tool,https://aclanthology.org/2025.acl-long.20/,提出 TrickCatcher：用LLM生成程序变体与输入，运行对比输出以抓“假阳性”代码中的隐藏bug。,,To Read,test case generation; bug detection; plausible programs; execution,ACL 2025 (Long),2025
Dynamic Scaling of Unit Tests for Code Reward Modeling,Zhiyuan Ma; Shizhe Diao; Yong Lin; Wendi Ji; Xipeng Qiu,Method,https://aclanthology.org/2025.acl-long.343/,根据题目难度动态扩增/收缩单元测试数量，提升代码奖励模型的稳定性与效果。,,To Read,unit tests; reward modeling; code generation; execution-based eval,ACL 2025 (Long),2025
DebateCoder: Towards Collective Intelligence of LLMs via Test Case-Driven Debate for Code Generation,Jingwei Chen; Songbo Tan; Ningyu Zhang; Shumin Deng; Huajun Chen,Method,https://aclanthology.org/2025.acl-long.589/,两模型用测试样例相互‘攻击—防御’，通过对比分析与执行结果不断修复代码。,,To Read,test-driven debate; execution feedback; code repair,ACL 2025 (Long),2025
FEA-Bench: A Benchmark for Evaluating Repository-Level Feature Implementation of LLMs,Weili Li; Xin Zhang; Hongfa Wang; et al.,Benchmark,https://aclanthology.org/2025.acl-long.839/,从真实PR构建任务，并配套测试文件，考查LLM在仓库级新增功能上的可通过性。,,To Read,repository-level; feature implementation; unit tests; execution-based scoring,ACL 2025 (Long),2025
Can You Really Trust Code Copilot? Evaluating Large Language Models on Code Security,Yichao Mou; et al.,Benchmark,https://aclanthology.org/2025.acl-long.849/,提出CoV‑Eval与VC‑Judge，系统评估LLM在漏洞检测与修复上的可靠性。,,To Read,security; vulnerability detection/repair; evaluation,ACL 2025 (Long),2025
